(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -        101342
data -         28328
data -          3515
data -         24255
data -        218167
data -         19785
data -         26216
data -         29113
data -         10805
data -         34104
data -         15193
data -        500563
data -         70008
data -         18041
data -         12684
data -         48110
data -          8623
data -         22442
data -         15382
data -         12110
data -         25055
data -         12260
data -         15381
data -         49959
data -         11805
data -          7457
data -         37306
data -        405827
data -         22857
data -         24411
data -          7938
data -         92772
data -          3847
data -         32617
data -         26281
data -         23327
data -        457229
data -         15023
data -          3607
data -         19844
data -         25532
data -         37543
data -         58992
data -         59118
data -         22610
data -         16985
data -         10168
data -         78467
data -         27236
data -         38486
data -         27116
data -         56686
data -         48418
data -         37063
data -         13774
data -         20703
data -         73268
data -        131029
data -         13568
data -         21079
data -         27625
data -         12521
data -         18797
data -         11143
data -         24673
data -         27647
data -         29779
data -         16833
data -         17595
data -         25531
data -        221913
data -         36894
data -          3475
data -          9279
data -         33373
data -          9295
data -          4759
data -        235298
data -         13865
data -         10097
data -         49399
data -        104650
data -         12909
data -         21011
data -         13705
data -         23629
data -          9822
data -         89318
data -        181663
data -         72110
data -         16979
data -         50457
data -         31363
data -         11218
data -         27789
data -         84399
data -        228361
data -         12099
data -         15002
data -         13110
data -          8254
data -         19999
data -         83704
data -         37609
data -          6980
data -         97394
data -         25513
data -        101181
data -         84709
data -         18438
data -        356120
data -         14394
data -         12271
data -         35152
data -        245950
data -         30213
data -         17522
data -         14542
data -         40849
data -         27628
data -        138429
data -         12633
data -         92588
data -         55928
data -        135253
data -         93814
data -          4465
data -         43758
data -         12809
data -          9826
data -         20730
data -          9308
data -        141623
data -        110716
data -         17446
data -         10001
data -         16731
data -         53597
data -         63851
data -         14312
data -         10159
data -          1825
data -          4802
data -         31633
data -         28248
data -         52345
data -         38871
data -         36752
data -         14656
data -         17397
data -          7702
data -          7166
data -          6770
data -         14541
data -          7907
data -          3375
data -         13813
data -         15276
data -         15973
data -          5552
data -         11616
data -         12136
data -         22687
data -          5006
data -          8482
data -         12450
data -          1819
data -          9760
data -          4132
data -         12019
data -          4627
data -          7071
data -        131029
data -         43248
data -         15003
data -         79383
data -         34627
data -         26450
data -         50746
data -         36536
data -         25572
data -         62117
data -        118385
data -         18930
data -          8941
data -         59449
data -         18844
data -         43785
data -         15024
data -         23000
data -         96405
data -         87895
data -        623714
data -        130321
data -         84186
data -        119194
data -         20893
data -        136106
data -         88722
data -        225660
data -        642469
data -        288268
data -       1071447
data -         93894
data -        197902
data -         21100
data -         16198
data -         13912
data -        258836
data -         61763
data -         22885
data -         23694
data -         15004
data -        409954
data -        154812
data -         21757
data -         50086
data -         12255
data -         28553
data -         90335
data -        364461
data -         44837
data -         54188
data -         43466
data -        130805
data -         37143
data -         33664
data -        122263
data -         28338
data -         55648
data -         26670
data -         25383
data -         97103
data -         61173
data -         21005
data -         21257
data -         38388
data -         19706
data -        528009
data -        221735
data -         64449
data -         50668
data -         24841
data -       3028886
data -         33862
data -         66701
data -         25810
data -         27395
data -         11503
data -         15083
data -        123273
data -         10289
data -         16497
data -         86924
data -         15555
data -         86052
data -         58861
data -         53770
data -         13024
data -         80641
data -         37435
data -         76415
data -         20667
data -          6325
data -         18500
data -         14752
data -         30917
data -         20525
data -         14500
data -         63525
data -         12565
data -         31159
data -         12578
data -        183757
data -         19744
data -         24455
data -         36756
data -         17800
data -        105048
data -         12167
data -         17079
data -         12895
data -         15207
data -        123495
data -        306863
data -         12322
data -         29640
data -         19608
data -         30922
data -         28374
data -         43856
data -         29509
data -        250000
data -         18595
data -         22981
data -        114568
data -         27251
data -        248266
data -         47657
data -         55902
data -         13424
data -         85328
data -         16877
data -         48607
data -         63898
data -         53455
data -         23089
data -        315603
data -         88900
data -         32020
data -         18736
data -        136774
data -         39429
data -         10672
data -         10193
data -         20933
data -         14582
data -          5000
data -         52530
data -        172393
data -         23587
data -         17530
data -         14367
data -         15800
data -         81266
data -         78902
data -         42585
data -        306403
data -         53673
data -          7379
data -         51389
data -         21500
data -         15000
data -         25579
data -          9727
data -         44748
data -         19096
data -         29965
data -          8736
data -         28390
data -        232613
data -         33346
data -         30794
data -         21089
data -         23338
data -         20540
data -         39084
data -         81567
data -         47380
data -        375814
data -         54613
data -         14493
data -         30298
data -         61001
data -         15108
data -        125000
data -         39728
data -         41754
data -        239597
data -         30337
data -         58818
data -         25094
data -         89664
data -        250521
data -         59669
data -        302887
data -         37866
data -        116021
data -         17415
data -         90880
data -         53170
data -         21145
data -         75513
data -        123454
data -        103509
data -        296412
data -         29792
data -         75886
data -       2062687
data -         69673
data -        143649
data -         59498
data -        100336
data -        179298
data -         52110
data -        125799
data -        162401
data -         51388
data -         75924
data -         40189
data -        222745
data -         61474
data -         26663
data -         83357
data -         88575
data -         70713
data -         21381
data -         22342
data -         18586
data -         22805
data -         44411
data -         25815
data -         15694
data -         73005
data -         37054
data -         27976
data -         34483
data -         70788
data -         12370
data -         84018
data -         86397
data -         18437
data -          3844
data -          3352
data -          4101
data -          3236
data -          3063
data -          6238
data -          9083
data -          6490
data -          5237
data -          5509
data -          8884
data -          4756
data -          2790
data -          7722
data -          5676
data -          8163
data -          4407
data -          5456
data -          9545
data -          5592
data -          3924
data -          5234
data -          5426
data -         12004
data -          6944
data -          9761
data -          6299
data -          6152
data -         14539
data -         12951
data -          8931
data -         13092
data -         11870
data -         17014
data -         11626
data -         16139
data -         17245
data -         13450
data -         18406
data -         12904
data -         12256
data -         20734
data -         28891
data -         19345
data -         27936
data -         22494
data -         27498
data -         29004
data -         40034
data -         38872
data -        102095
data -        141832
data -        245140
data -          3071
data -          6295
data -          4247
data -          6370
data -          5514
data -          4779
data -          5261
data -          4038
data -         12235
data -          8104
data -          4169
data -          8790
data -         17986
data -          8348
data -         16539
data -         11624
data -          9738
data -         40578
data -          8505
data -         14787
data -          5571
data -         33164
data -         10901
data -         19446
data -         12948
data -         19542
data -         18581
data -         20659
data -         13860
data -         19608
data -         26206
data -         41964
data -         66199
data -        124182
data -         60855
data -         85013
data -        183472
data -          8627
data -         13589
data -          3432
data -          6063
data -         15700
data -          8213
data -          7368
data -         12415
data -         14921
data -          6620
data -         10889
data -         14482
data -          6197
data -         16354
data -         11354
data -         13139
data -         13960
data -          9973
data -          8419
data -         12081
data -         19784
data -         21433
data -         19079
data -         20767
data -         20083
data -         18588
data -         37403
data -         11248
data -         37031
data -         43838
data -         11725
data -         38908
data -          9099
data -         52485
data -         77796
data -        119267
data -        213723
data -        254100
data -        540890
data -        434920
data -       1220181
data -          7230
data -          7224
data -          3280
data -          4983
data -          3775
data -          6757
data -          7332
data -          5239
data -          8523
data -          7572
data -         14454
data -         27118
data -         20204
data -         38503
data -         16957
data -         26139
data -         31840
data -         21513
data -         43802
data -         39564
data -          6340
data -         17262
data -          6861
data -          3264
data -          9542
data -          6551
data -          3340
data -          3844
data -          8011
data -          6513
data -          4531
data -          6423
data -          6543
data -          5050
data -         14575
data -          5042
data -          7079
data -          9985
data -          7970
data -         11982
data -          5605
data -          6670
data -          4658
data -         10065
data -         15833
data -         16421
data -          8913
data -         13248
data -          4953
data -          9307
data -         11166
data -         22200
data -         11431
data -         14662
data -         16057
data -         14969
data -         15345
data -          8784
data -         28809
data -         15085
data -         17103
data -          9935
data -         10961
data -         15923
data -         16008
data -         19351
data -         20360
data -         28700
data -         42138
data -         24700
data -         33511
data -         33440
data -         32326
data -         16174
data -         33837
data -         31546
data -         39528
data -         24023
data -         32414
data -         42281
data -         42029
data -         40728
data -         59159
data -         65619
data -         63482
data -         62577
data -         46175
data -         91537
data -        274426
data -        985647
data -          4824
data -          8804
data -          4627
data -          5013
data -         12750
data -          3362
data -          7150
data -          8335
data -          8061
data -          3866
data -          8578
data -          5194
data -          8581
data -          4359
data -          5529
data -          7792
data -          9920
data -         10478
data -          5708
data -         10269
data -          6146
data -         15344
data -          6841
data -          7970
data -          5728
data -         13683
data -          9439
data -          9382
data -         12827
data -         20228
data -         31567
data -         42955
data -         15459
data -         14810
data -         20816
data -          9294
data -         17648
data -         25717
data -         22730
data -         30269
data -         17978
data -         21831
data -         20474
data -         33573
data -         43308
data -         37348
data -         44161
data -        119004
data -         59960
data -         41239
data -         65590
data -         71833
data -         59498
data -          4180
data -          5700
data -          4246
data -          5656
data -          7408
data -          7715
data -         11779
data -         24322
data -         16670
data -         12701
data -         14918
data -          5416
data -         16720
data -         18796
data -         17808
data -         16572
data -         10000
data -         33946
data -         32128
data -         15085
data -         23088
data -         22189
data -         13314
data -         22565
data -         15058
data -         34201
data -         19411
data -         23147
data -         42722
data -         27866
data -         38692
data -         36166
data -         47677
data -         69152
data -        115072
data -        145888
data -          4474
data -          7194
data -          1672
data -          5838
data -          2457
data -          2980
data -          9153
data -         38181
data -          1543
data -         14728
data -          2660
data -          7000
data -          2150
data -         41910
data -         27408
data -         56154
data -         60054
data -         20384
data -         81324
data -        234283
data -         33719
data -        123466
data -         92116
data -         34660
data -         65147
data -        121549
data -         28206
data -         20703
data -         59199
data -        146107
data -         31097
data -         43131
data -         84221
data -         75435
data -         23688
data -         23287
data -         39765
data -         24495
data -        174460
data -         31612
data -         11111
data -         25839
data -        655660
data -         34192
data -         71754
data -         92967
data -         59912
data -         34672
data -         39731
data -         58922
data -         37942
data -         23142
data -         98867
data -         35321
data -         75286
data -         98730
data -         43733
data -         32694
data -         87731
data -         32981
data -         11498
data -         89646
data -         26308
data -       1227486
data -         60079
data -         42863
data -        386271
data -         23506
data -         41021
data -         42156
data -         62102
data -         33812
data -         32482
data -         38210
data -        118575
data -         29404
data -         24314
data -         40709
data -         33370
data -         87451
data -         43388
data -         44875
data -        111534
data -         71127
data -         39397
data -        100098
data -         26261
data -         17899
data -         56772
data -         33799
data -         28724
data -         33812
data -         29166
data -         53623
data -         17564
data -         35577
data -         62120
data -         23397
data -         27425
data -         28250
data -         45597
data -        168789
data -         19774
data -         87170
data -         24188
data -         42577
data -         47380
data -         82514
data -         52863
data -         29518
data -         26340
data -         62045
data -         20298
data -         27068
data -         20539
data -         41958
data -        134314
data -         25145
data -         35135
data -         56161
data -         45398
data -         22748
data -         43442
data -         20332
data -         23475
data -         13488
data -         91284
data -         40222
data -         19316
data -         32150
data -         59729
data -         54374
data -         53600
data -         97254
data -         67892
data -         80869
data -         53918
data -         82906
data -         80402
data -         69480
data -         70350
data -         67132
data -         52684
data -        129680
data -         66857
data -         65596
data -         86608
data -        114615
data -         85617
data -        146209
data -        168684
data -         27595
data -         80182
data -         85957
data -         60867
data -        193135
data -         73418
data -         60181
data -        132428
data -         89093
data -         71218
data -         87656
data -         34149
data -         73494
data -        164072
data -        225485
data -        118234
data -        141490
data -        184501
data -        222395
data -        113102
data -        237354
data -        222606
data -         28317
data -        188232
data -        179004
data -        247530
data -        472528
data -        279893
data -        362322
data -        304118
data -        344315
data -        689647
data -       1505809
data -         37211
data -        865107
data -        767490
data -         55745
data -         39561
data -         83547
data -         24318
data -         40614
data -         70504
data -         21139
data -         62107
data -         98339
data -         19506
data -         39149
data -        106931
data -           804
data -         70226
data -        201014
data -        214394
data -        200130
data -         74115
data -         21058
data -         14517
data -         29368
data -         46441
data -         98647
data -         80631
data -         35913
data -         57000
data -         46030
data -         23672
data -         18050
data -         87339
data -         18383
data -         40086
data -        166388
data -         17149
data -         12060
data -         14408
data -        176221
data -         96754
data -         22656
data -         10520
data -         19683
data -       7954358
data -         53036
data -         28442
data -         61675
data -         28112
data -        103232
data -         48133
data -        118175
data -         15452
data -        149950
data -         19363
data -        325373
data -          8027
data -         79514
data -        365555
data -         88996
data -         41264
data -         47389
data -         15932
data -         29202
data -         46675
data -        116938
data -         72382
data -          7615
data -          5579
data -         92496
data -         25909
data -          9697
data -        169130
data -         53096
data -          9983
data -        237769
data -         12792
data -          7909
data -         39406
data -        125679
data -        105691
data -         92889
data -         19145
data -         14854
data -         16442
data -         24035
data -         50303
data -         70046
data -         20468
data -         27182
data -         99731
data -         46802
data -         15786
data -         57651
data -         36760
data -         39664
data -         66668
data -         31278
data -          9344
data -         10818
data -         12017
data -        138067
data -         64976
data -        177517
data -        131816
data -        164090
data -          8197
data -         88044
data -        239435
data -         74940
data -         93680
data -          8943
data -         32745
data -          3955
data -        117426
data -          6266
data -         20830
data -         64822
data -         18775
data -          8589
data -         65568
data -         50990
data -         53098
data -         27621
data -         25815
data -         27722
data -         24569
data -          2700
data -         45377
data -         43713
data -         11791
data -         47384
data -         51049
data -         25468
data -        203399
data -         13479
data -        140036
data -          9931
data -         40452
data -         63580
data -          9462
data -         54535
data -         55270
data -         27734
data -         44196
data -         10861
data -         53689
data -         27807
data -         10778
data -         82914
data -         50977
data -         23306
data -         51668
data -         10129
data -        119375
data -         39229
data -         28799
data -         68969
data -        116751
data -          6702
data -        186785
data -          3559
data -         76024
data -         67139
data -         80639
data -        158286
data -         45779
data -         33237
data -        254751
data -         57983
data -        233432
data -         43635
data -         74016
data -        104118
data -         36227
data -        113605
data -         61879
data -         27147
data -         25775
data -         50527
data -         58774
data -        160550
data -         54755
data -        109827
data -         33372
data -         31391
data -         73156
data -         80538
data -          4942
data -         36574
data -         95680
data -         37504
data -         47469
data -          7016
data -        113412
data -          1252
data -         31570
data -         36874
data -          7807
data -          1182
data -         70802
data -         37115
data -        124380
data -        129613
data -        333835
data -         12066
data -          9107
data -          6684
data -         30794
data -         85545
data -        473630
data -         47722
data -         34012
data -         92131
data -         41885
data -         16791
data -         60116
data -        233312
data -         70903
data -         38359
data -         21135
data -         48990
data -         45223
data -         82660
data -         15258
data -         22059
data -         61378
data -         55232
data -         10066
data -         33958
data -         62902
data -         27582
data -        142569
data -         23040
data -         60219
data -         52956
data -          3872
data -         19841
data -          9450
data -        161796
data -         11300
data -         29697
data -        152608
data -         20677
data -         16382
data -         27518
data -        262770
data -         62426
data -         32839
data -        109588
data -         20530
data -         52006
data -         11607
data -         14561
data -         52399
data -         44272
data -          4724
data -         26228
data -         14238
data -          4802
data -         24792
data -        117339
data -         26653
data -          4321
data -         51460
data -         70389
data -          9489
data -         72208
data -         75478
data -         82671
data -         33053
data -         15441
data -         50477
data -         28168
data -        131699
data -          9678
data -         55989
data -        166271
data -         36428
data -         27510
data -         53968
data -         60032
data -         30948
data -         47208
data -        692389
data -         26498
data -         27774
data -         77835
data -         94610
data -         39230
data -         36565
data -         86470
data -         18572
data -         29916
data -         83466
data -         62130
data -        181613
data -         18419
data -         67717
data -         31229
data -          5135
data -         49133
data -         28837
data -         20922
data -         33080
data -          6600
data -         22392
data -         40545
data -        109745
data -         11604
data -        110236
data -        142872
data -         41144
data -         82536
data -         20361
data -          9055
data -        129275
data -         73576
data -         85294
data -        221214
data -         43679
data -          8755
data -         44320
data -         52606
data -         16164
data -         48087
data -        108556
data -          7312
data -         35994
data -         79264
data -        103359
data -         96639
data -          8293
data -         37548
data -         87154
data -         36453
data -         92519
data -        142807
data -         10603
data -         42573
data -         63274
data -         29197
data -         48327
data -         88441
data -         39737
data -        109759
data -          3422
data -         83641
data -         74194
data -        698500
data -         10016
data -         45621
data -          5097
data -         11715
data -         25213
data -         45014
data -         51851
data -         28803
data -         35841
data -         14847
data -          4250
data -         11089
data -          5880
data -          9659
data -          8713
data -         26062
data -         20561
data -          7107
data -         17929
data -         16695
data -         12500
data -         19912
data -          9552
data -         12580
data -         12786
data -          6434
data -          9640
data -         84899
data -         12514
data -         81908
data -        230105
data -       1180736
data -       3148976
data -       1577004
data -        131799
data -         92372
data -        552790
data -        219449
data -        198370
data -         92870
data -        393154
data -         59535
data -        751265
data -        946475
data -         61000
data -       2534888
data -       1958367
data -         94769
data -        176958
data -         46638
data -        105909
data -        343259
data -        138914
data -        352993
data -          5925
data -          8916
data -          4500
data -         26710
data -         10750
data -         16736
data -         15930
data -         73303
data -         53965
data -         19498
data -         12000
data -        465515
data -         29564
data -         50740
data -         35321
data -         17980
data -         59593
data -         12584
data -         31232
data -         22060
data -         13516
data -          9310
data -         45116
data -         24035
data -          5989
data -         15233
data -         11000
data -          4750
data -          8670
data -         97538
data -         12000
data -         26683
data -         10000
data -          6650
data -         27176
data -         45608
data -         11983
data -         47123
data -         37427
data -          6604
data -          2263
data -         18576
data -         14320
data -          5110
data -          9577
data -         10534
data -         18755
data -         11860
data -         13774
data -          6904
data -         41897
data -         13486
data -         29000
data -          2812
data -         12906
data -          7120
data -         23526
data -         14950
data -         27275
data -          6808
data -         24076
data -         14100
data -         34843
data -          3047
data -          7059
data -         26289
data -         39429
data -         22897
data -         26180
data -         22888
data -         43479
data -         15547
data -         21050
data -         38694
data -          7700
data -          5742
data -         19572
data -         28547
data -          9822
data -         27866
data -         20075
data -         13700
data -         25250
data -         20741
data -          6000
data -          4985
data -          5600
data -          7800
data -         28061
data -          8000
data -         11636
data -          9719
data -         38207
data -          8956
data -         14473
data -          5089
data -         19387
data -          6966
data -         33234
data -         11800
data -         34691
data -         31893
data -         10991
data -         36339
data -        107880
data -         19234
data -         12500
data -         27392
data -         36820
data -          9895
data -         26762
data -         15100
data -         13429
data -         19049
data -         13270
data -         18052
data -         38625
data -         16300
data -         11104
data -         16400
data -         11315
data -         41545
data -         19218
data -         16228
data -          8679
data -         48336
data -          7139
data -         11561
data -         28712
data -         17301
data -          9565
data -          5200
data -         12275
data -         17000
data -         30546
data -         33223
data -         20532
data -         24152
data -         37989
data -         35897
data -         13895
data -          4991
data -         33625
data -         19475
data -          6769
data -          2100
data -         10500
data -          5447
data -         15021
data -          9062
data -         10133
data -         20450
data -         18423
data -        328138
data -         74951
data -         11710
data -         17880
data -          9636
data -         37800
data -         27618
data -         37880
data -         50081
data -         10926
data -         64920
data -         32057
data -         10628
data -         54665
data -          9702
data -          8255
data -          6000
data -          8107
data -         10563
data -         36896
data -          4000
data -         18099
data -         12883
data -         98617
data -         30324
data -         16500
data -          4700
data -         10800
data -          9996
data -          8739
data -         28000
data -         24000
data -          5875
data -         10805
data -         10300
data -         58252
data -         21900
data -         26077
data -         16259
data -         14105
data -         22136
data -         26136
data -         96881
data -         12876
data -         37891
data -          9719
data -         39431
data -         31036
data -         14518
data -         18184
data -         39292
data -         40733
data -          6977
data -         13655
data -         24305
data -         32371
data -          2492
data -         43000
data -         40985
data -          6100
data -         10620
data -          8112
data -          5900
data -          8495
data -         10056
data -          3987
data -         29725
data -         21000
data -          6538
data -         13433
data -          9305
data -         18200
data -         16043
data -         10960
data -          4500
data -         14300
data -          5855
data -         14542
data -          5350
data -          2990
data -         10745
data -         13478
data -          5449
data -          7669
data -          7522
data -         10190
data -          1578
data -          5595
data -          4330
data -          1131
data -         20000
data -         35000
data -         12970
data -         10535
data -         24000
data -          5198
data -         12345
data -          3231
data -          6017
data -         18667
data -          5630
data -          6080
data -          6200
data -          4800
data -         22400
data -         20208
data -          5000
data -          3600
data -          3055
data -          7400
data -          5800
data -         10000
data -          5823
data -          3653
data -         15100
data -          3761
data -          2260
data -          5375
data -          6655
data -          3250
data -          5500
data -         45646
data -        356772
data -         26086
data -          1505
data -         49367
data -         36124
data -         68717
data -         22836
data -        138637
data -         13483
data -        258017
data -        124839
data -         15540
data -         20000
data -         11200
data -         34427
data -        100439
data -         14000
data -         16869
data -         66915
data -         39039
data -         15987
data -          6025
data -          9900
data -         68934
data -         60337
data -        206536
data -         19691
data -        101906
data -         49421
data -         42567
data -         39101
data -         66187
data -         14860
data -         36054
data -         41330
data -         10301
data -         15000
data -        165000
data -         30182
data -         13683
data -        169625
data -         13816
data -         30924
data -         72143
data -         20635
data -         37111
data -         16761
data -         55000
data -         24801
data -         58362
data -         14216
data -         26763
data -         42185
data -         28666
data -         12815
data -         83053
data -         12460
data -         12785
data -         69335
data -         16257
data -         37860
data -         14947
data -         34983
data -         58939
data -         13506
data -         18371
data -        230730
data -         15409
data -         30612
data -         17129
data -       6997395
data -         38549
data -         85559
data -         23639
data -         40185
data -         13000
data -         18015
data -         36232
data -         67909
data -        147104
data -         24816
data -         26200
data -         13843
data -         17266
data -         13900
data -         21549
data -         71500
data -         30015
data -         22245
data -          6288
data -        237152
data -         31564
data -         24923
data -         92025
data -         12052
data -         20199
data -        422798
data -         12000
data -         30075
data -         18292
data -         15225
data -         69782
data -         14068
data -         74762
data -         20875
data -         31730
data -         61632
data -         31066
data -        681889
data -         98366
data -         29691
data -         26478
data -         56000
data -         12500
data -        243946
data -         46763
data -       1018927
data -         32155
data -         58120
data -        161723
data -        149246
data -         27736
data -         36503
data -         52000
data -         18280
data -         21237
data -         40222
data -         22115
data -         33662
data -         49417
data -         33726
data -         53543
data -         19391
data -         20410
data -         25200
data -        223380
data -         32107
data -         47316
data -         45614
data -         16000
data -         14675
data -         14108
data -         50070
data -         16997
data -         86718
data -         54593
data -         40825
data -         47013
data -         41371
data -         87000
data -         40229
data -         64610
data -         23567
data -         96779
data -         28528
data -         72804
data -          8387
data -        402828
data -         19833
data -         46690
data -         28245
data -         32975
data -        452961
data -         24962
data -        718025
data -         17915
data -         16000
data -         15386
data -         19128
data -        103928
data -         17350
data -         33600
data -         18540
data -         34670
data -        168549
data -         22801
data -         12037
data -         78281
data -         10502
data -        282921
data -         88135
data -          4300
data -         36215
data -         19000
data -         21533
data -         10807
data -         41295
data -        153898
data -         86104
data -         13500
data -         17238
data -         96020
data -         28747
data -         10237
data -         16118
data -         21415
data -         48601
data -        101041
data -         15683
data -         29244
data -         16705
data -         21820
data -         58202
data -         25787
data -         32014
data -         44349
data -         27929
data -         20905
data -         31888
data -        466098
data -         30107
data -         13316
data -         19005
data -        127500
data -         14273
data -         22328
data -        224760
data -         26357
data -         31070
data -         44810
data -         42564
data -        114845
data -         12122
data -         31466
data -         68350
data -         23949
data -        110471
data -         89967
data -         45713
data -         37853
data -         95654
data -          6300
data -         28150
data -         61698
data -         42795
data -         18324
data -         90889
data -         48289
data -         57232
data -         25150
data -         56990
data -         25406
data -         19152
data -        130421
data -         38987
data -         30855
data -         28307
data -         16901
data -        138288
data -         97935
data -         12000
data -         41240
data -        140283
data -         22631
data -         67792
data -         12800
data -         20306
data -         25202
data -         17402
data -         21254
data -          9660
data -         22353
data -         13800
data -         21622
data -         35982
data -         29207
data -          9349
data -         65198
data -        205063
data -         78671
data -        142115
data -        105722
data -          4636
data -         20474
data -        425011
data -         63231
data -         20887
data -         32687
data -         34655
data -         18676
data -         19870
data -         15799
data -         90083
data -         33903
data -         52792
data -         12116
data -         16480
data -         23246
data -         52174
data -         46634
data -        184318
data -         56000
data -         58538
data -         22870
data -         25567
data -        381012
data -        133477
data -         22152
data -         17400
data -        208656
data -         49997
data -         14330
data -         38000
data -         17252
data -         18091
data -         22092
data -         15025
data -         46732
data -         11150
data -         29607
data -         43295
data -         26629
data -         40698
data -         27538
data -         45825
data -          7642
data -        131482
data -        219873
data -         19672
data -        156190
data -         20374
data -         11739
data -        144952
data -         29339
data -         19373
data -         15327
data -         13500
data -         48924
data -         24757
data -         37094
data -        266578
data -          5102
data -        114753
data -          8441
data -         27372
data -        743030
data -        183774
data -         26350
data -         36063
data -         11087
data -         36984
data -         23909
data -         22166
data -         11688
data -         29903
data -        176965
data -         37272
data -         25436
data -         35441
data -         15720
data -          8300
data -        225501
data -         61292
data -         18036
data -         12862
data -         94408
data -         95000
data -        102241
data -         89322
data -         26628
data -         88250
data -          4976
data -         43508
data -         43000
data -         57538
data -         28774
data -         68912
data -         84030
data -        162722
data -         49733
data -          8941
data -         17317
data -         31901
data -         24000
data -         18051
data -        429100
data -         31720
data -          7200
data -         22791
data -         15652
data -         28951
data -          4000
data -         65875
data -         20960
data -         30201
data -         14243
data -         20910
data -         22062
data -         13147
data -          6600
data -         35200
data -         60322
data -         17460
data -         13000
data -        419720
data -         30845
data -         21186
data -         14619
data -         20699
data -         65770
data -         75990
data -         27698
data -         47079
data -         10369
data -          6858
data -          3370
data -         16873
data -         16148
data -         30756
data -         28485
data -         29156
data -         84624
data -        236229
data -        825232
data -        313100
data -        578335
data -         65354
data -        182232
data -        953751
data -         82806
data -       1688839
data -       2911191
data -        832154
data -        965187
data -        200873
data -        426504
data -         27619
data -         75951
data -        109206
data -        592803
data -         14322
data -         15807
data -          9146
data -         36493
data -          7318
data -         80639
data -         12888
data -         23530
data -         74639
data -         50290
data -         25514
data -         25708
data -          6780
data -         10208
data -          9695
data -         33425
data -         20379
data -         70685
data -         93604
data -         11975
data -         26175
data -         18812
data -         18796
data -         75237
data -         15356
data -         14703
data -         18990
data -         13083
data -         26346
data -         33850
data -         11925
