(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -        140786
data -        759378
data -        120605
data -        313134
data -         74467
data -         97324
data -        417847
data -        125323
data -        114711
data -        146474
data -         22818
data -          2350
data -         91544
data -        111580
data -         99957
data -         25943
data -         65887
data -         48414
data -        298705
data -         51729
data -         67978
data -        139051
data -         42742
data -         50198
data -         54264
data -        126575
data -        961529
data -         95825
data -         19018
data -         27362
data -        171557
data -        295000
data -          6394
data -         31157
data -        439970
data -         28746
data -        425101
data -         11292
data -         30742
data -         15060
data -         23372
data -        409740
data -        129390
data -         30360
data -         15969
data -         20156
data -         48247
data -         25086
data -         44844
data -          4669
data -          6100
data -         60947
data -         10028
data -          5595
data -       2276148
data -         19911
data -         20605
data -        425556
data -         82522
data -        153335
data -         30979
data -        119963
data -         47560
data -         19780
data -        344330
data -         42328
data -          9000
data -        142512
data -         22237
data -         75238
data -         29726
data -          7300
data -         21486
data -          5858
data -         16200
data -         14500
data -          7117
data -         17269
data -       1036496
data -          8338
data -          8349
data -         37012
data -         11373
data -        106853
data -         11135
data -         23525
data -         46401
data -         13267
data -         19684
data -        137449
data -        240932
data -         53882
data -        131338
data -         14603
data -         11842
data -         14711
data -         10872
data -         25314
data -        266137
data -         11250
data -         74811
data -          9644
data -          4899
data -          6840
data -         15500
data -         42420
data -          9310
data -        855590
data -         87858
data -        399240
data -         17000
data -         23502
data -         13255
data -         19275
data -         60000
data -         34564
data -         65043
data -         19000
data -         55341
data -         62329
data -          4993
data -         95848
data -         11902
data -         33393
data -         32517
data -         50000
data -         13879
data -        193071
data -         46181
data -         24750
data -         14300
data -         18235
data -         20000
data -         32105
data -         89980
data -        418997
data -         53245
data -          9883
data -         10654
data -          8561
data -         10570
data -          8864
data -          8500
data -          6119
data -          6800
data -         59885
data -         16505
data -         78417
data -         19653
data -         76626
data -          7616
data -         73846
data -         84509
data -         73846
data -         35156
data -         90477
data -         24118
data -         74111
data -         41000
data -         81050
data -         17500
data -        471705
data -         29058
data -        150210
data -         60321
data -         21285
data -         35963
data -         26935
data -         10771
data -         47352
data -         12589
data -         14680
data -         52059
data -         43777
data -         35666
data -         16658
data -         61681
data -         94836
data -        364782
data -        149940
data -         23750
data -         46940
data -         40181
data -         45956
data -         26692
data -         20842
data -         15675
data -         45459
data -         46175
data -        161197
data -         60986
data -        104773
data -         56366
data -         41834
data -         32019
data -         46177
data -        118095
data -         27080
data -          8000
data -        350837
data -        108955
data -        144501
data -         16923
data -        121289
data -          2230
data -         25200
data -         59032
data -        367915
data -         61566
data -         20377
data -         21000
data -        111549
data -         42492
data -        105517
data -         22582
data -        175724
data -        407561
data -         28668
data -         41918
data -          9200
data -         57518
data -         56280
data -         37237
data -         69578
data -          9388
data -         48170
data -         23319
data -         95301
data -        170213
data -         62942
data -         30136
data -        229841
data -         50995
data -         24735
data -        175459
data -        108091
data -         69697
data -         23185
data -         15506
data -         75205
data -        236508
data -        154765
data -         46286
data -         11000
data -         35554
data -        427510
data -        112919
data -         77392
data -         89044
data -         93197
data -         27805
data -         64859
data -         21653
data -         94117
data -         43626
data -         21600
data -        247286
data -         27545
data -        104163
data -         39951
data -         59205
data -         87247
data -         29266
data -         27801
data -         59661
data -         70025
data -         91533
data -          9009
data -         53879
data -         25834
data -         20839
data -         60510
data -         23028
data -         39062
data -         37324
data -         34047
data -        106464
data -         71784
data -         31464
data -         17670
data -         29176
data -          8811
data -         51318
data -         23480
data -        137121
data -         22400
data -        136131
data -         43856
data -         85433
data -        133255
data -        107998
data -         19620
data -         31835
data -        395754
data -         17259
data -         24104
data -        150747
data -         80651
data -         50128
data -         40802
data -         52737
data -         49001
data -        151590
data -         11800
